 0.300  0.500  0.070	 0.300  0.500  0.070	-1.536  0.006  0.015	 0.000  0.076 -0.154	0.03336
 0.300  0.450  0.070	 0.300  0.449  0.070	-1.570 -0.000 -0.000	-0.028  0.064 -0.153	0.05980
 0.300  0.400  0.070	 0.300  0.400  0.071	-1.567  0.007  0.010	-0.010  0.075 -0.158	0.04069
 0.300  0.350  0.070	 0.300  0.351  0.071	-1.597  0.031  0.006	-0.024  0.034 -0.148	0.08180
 0.300  0.300  0.070	 0.300  0.300  0.070	-1.571  0.000 -0.000	-0.012  0.058 -0.154	0.05577
 0.300  0.250  0.070	 0.301  0.251  0.070	-1.569  0.005  0.006	-0.021  0.031 -0.149	0.08219
 0.300  0.200  0.070	 0.299  0.200  0.071	-1.571  0.000 -0.001	-0.016  0.053 -0.157	0.06120
 0.300  0.150  0.070	 0.300  0.150  0.070	-1.596  0.063  0.027	-0.021  0.032 -0.151	0.08217
 0.300  0.100  0.070	 0.299  0.100  0.070	-1.585  0.051 -0.007	-0.020  0.037 -0.154	0.07733
 0.300  0.050  0.070	 0.300  0.050  0.070	-1.588  0.152 -0.062	-0.034  0.023 -0.155	0.09623
 0.300  0.000  0.070	 0.300  0.000  0.070	-1.580  0.325  0.017	-0.033  0.000 -0.152	0.09627
 0.300 -0.050  0.070	 0.300 -0.050  0.070	-1.536  0.423  0.100	-0.023 -0.030 -0.153	0.08439
 0.300 -0.100  0.070	 0.300 -0.099  0.070	-1.540  0.535  0.024	-0.018 -0.037 -0.153	0.07566
 0.300 -0.150  0.070	 0.254 -0.140  0.076	-0.962  0.276  0.327	 0.019 -0.034 -0.156	0.04423
 0.300 -0.200  0.070	 0.300 -0.200  0.070	-1.535  0.711  0.002	-0.038 -0.011 -0.154	0.10097
 0.300 -0.250  0.070	 0.301 -0.250  0.070	-1.530  0.667  0.036	-0.037 -0.019 -0.153	0.09945
 0.300 -0.300  0.070	 0.300 -0.300  0.070	-1.526  0.656  0.030	-0.035 -0.035 -0.152	0.08715
 0.300 -0.350  0.070	 0.301 -0.350  0.070	-1.540  0.658  0.009	-0.031 -0.049 -0.152	0.07403
 0.300 -0.400  0.070	 0.300 -0.400  0.071	-1.548  0.691 -0.031	-0.025 -0.059 -0.151	0.06189
 0.300 -0.450  0.070	 0.300 -0.450  0.071	-1.468  0.995  0.043	-0.021 -0.064 -0.149	0.05584
 0.300 -0.500  0.070	 0.301 -0.500  0.070	-1.542  0.775 -0.126	-0.009 -0.078 -0.152	0.03718
 0.350  0.500  0.070	 0.350  0.501  0.070	-1.572  0.000 -0.000	 0.001  0.080 -0.156	0.03049
 0.350  0.450  0.070	 0.350  0.451  0.070	-1.555  0.008 -0.006	 0.008  0.069 -0.153	0.03480
 0.350  0.400  0.070	 0.350  0.401  0.070	-1.571  0.000 -0.001	 0.007  0.064 -0.153	0.03926
 0.350  0.350  0.070	 0.349  0.350  0.070	-1.570  0.001 -0.001	-0.020  0.058 -0.154	0.05968
 0.350  0.300  0.070	 0.350  0.300  0.070	-1.586 -0.001  0.006	-0.016  0.063 -0.157	0.05341
 0.350  0.250  0.070	 0.350  0.250  0.070	-1.571  0.000 -0.000	-0.004  0.055 -0.155	0.05274
 0.350  0.200  0.070	 0.350  0.200  0.070	-1.571 -0.002  0.001	 0.016  0.035 -0.152	0.04737
 0.350  0.150  0.070	 0.349  0.150  0.070	-1.572 -0.001  0.000	-0.007  0.039 -0.153	0.06765
 0.350  0.100  0.070	 0.350  0.100  0.070	-1.577  0.058 -0.039	-0.004  0.049 -0.160	0.05823
 0.350  0.050  0.070	 0.350  0.051  0.070	-1.582  0.142 -0.068	 0.022  0.033 -0.158	0.04077
 0.350  0.000  0.070	 0.350  0.000  0.070	-1.578  0.302 -0.080	-0.012  0.014 -0.149	0.07468
 0.350 -0.050  0.070	 0.350 -0.050  0.070	-1.533  0.415  0.085	-0.037  0.004 -0.156	0.09954
 0.350 -0.100  0.070	 0.350 -0.100  0.070	-1.546  0.473  0.036	-0.010 -0.037 -0.153	0.07114
