 0.300  0.500  0.070	 0.300  0.501  0.070	-0.015  1.586 -0.027	 0.027  0.049 -0.145	0.03611
 0.300  0.450  0.070	 0.299  0.451  0.069	 0.001  1.571  0.000	-0.008  0.052 -0.143	0.05804
 0.300  0.400  0.070	 0.299  0.399  0.070	 0.015  1.558  0.007	 0.011  0.027 -0.144	0.05198
 0.300  0.350  0.070	 0.299  0.350  0.070	 0.021  1.564  0.005	 0.009  0.042 -0.142	0.05363
 0.300  0.300  0.070	 0.301  0.300  0.071	 0.000  1.571  0.000	-0.020  0.033 -0.143	0.07995
 0.300  0.250  0.070	 0.300  0.250  0.070	 0.003  1.570 -0.001	-0.023  0.025 -0.144	0.08601
 0.300  0.200  0.070	 0.301  0.199  0.069	 0.000  1.571 -0.000	 0.002  0.005 -0.144	0.06127
 0.300  0.150  0.070	 0.300  0.150  0.070	-0.013  1.572  0.004	-0.019  0.019 -0.143	0.08179
 0.300  0.100  0.070	 0.300  0.100  0.069	 0.009  1.526 -0.008	-0.016 -0.025 -0.152	0.07853
 0.300  0.050  0.070	 0.300  0.050  0.070	-0.007  1.572 -0.000	-0.027 -0.004 -0.147	0.08956
 0.300  0.000  0.070	 0.300 -0.000  0.070	 0.004  1.557 -0.001	-0.011 -0.027 -0.149	0.07399
 0.300 -0.050  0.070	 0.300 -0.050  0.070	-0.000  1.571  0.000	-0.026 -0.022 -0.148	0.08878
 0.300 -0.100  0.070	 0.301 -0.100  0.069	-0.001  1.562 -0.001	-0.034 -0.025 -0.152	0.09503
 0.300 -0.150  0.070	 0.301 -0.150  0.070	 0.001  1.570 -0.002	-0.024 -0.028 -0.147	0.08636
 0.300 -0.200  0.070	 0.300 -0.200  0.070	 0.000  1.573  0.002	-0.026 -0.027 -0.147	0.08870
 0.300 -0.250  0.070	 0.300 -0.249  0.070	-0.029  1.557 -0.018	-0.027 -0.042 -0.149	0.07736
 0.300 -0.300  0.070	 0.300 -0.300  0.069	-0.012  1.550 -0.054	-0.030 -0.040 -0.150	0.08065
 0.300 -0.350  0.070	 0.301 -0.350  0.069	-0.024  1.552 -0.048	-0.028 -0.050 -0.150	0.07062
 0.300 -0.400  0.070	 0.300 -0.400  0.070	-0.044  1.544 -0.087	-0.023 -0.059 -0.149	0.06099
 0.300 -0.450  0.070	 0.300 -0.450  0.070	-0.077  1.545 -0.140	-0.016 -0.067 -0.148	0.05048
 0.300 -0.500  0.070	 0.300 -0.500  0.070	-0.108  1.543 -0.204	-0.009 -0.075 -0.149	0.03959
 0.350  0.500  0.070	 0.350  0.500  0.069	 0.000  1.571 -0.000	 0.021  0.059 -0.145	0.03557
 0.350  0.450  0.070	 0.350  0.450  0.070	 0.006  1.561  0.060	 0.020  0.047 -0.143	0.04296
 0.350  0.400  0.070	 0.351  0.400  0.070	-0.002  1.569  0.001	 0.006  0.030 -0.142	0.05710
 0.350  0.350  0.070	 0.350  0.349  0.069	 0.000  1.571  0.000	 0.024  0.028 -0.146	0.03890
 0.350  0.300  0.070	 0.350  0.301  0.070	-0.000  1.571 -0.000	 0.028  0.018 -0.147	0.03456
 0.350  0.250  0.070	 0.350  0.250  0.070	 0.012  1.573 -0.002	 0.020  0.015 -0.146	0.04297
 0.350  0.200  0.070	 0.350  0.200  0.070	 0.003  1.573  0.007	 0.013 -0.007 -0.146	0.05041
 0.350  0.150  0.070	 0.351  0.150  0.070	 0.032  1.560  0.092	-0.005  0.002 -0.144	0.06820
 0.350  0.100  0.070	 0.350  0.100  0.070	-0.009  1.568  0.006	-0.014 -0.003 -0.146	0.07698
 0.350  0.050  0.070	 0.351  0.050  0.069	 0.009  1.573 -0.003	-0.008 -0.014 -0.147	0.07076
 0.350  0.000  0.070	 0.351  0.000  0.070	-0.000  1.571 -0.000	-0.001 -0.026 -0.149	0.06408
 0.350 -0.050  0.070	 0.350 -0.049  0.070	 0.023  1.559 -0.013	-0.005 -0.024 -0.146	0.06767
 0.350 -0.100  0.070	 0.351 -0.100  0.069	 0.001  1.566 -0.006	-0.016 -0.027 -0.148	0.07860
 0.350 -0.150  0.070	 0.349 -0.150  0.071	-0.000  1.571  0.000	-0.019 -0.022 -0.146	0.08239
 0.350 -0.200  0.070	 0.350 -0.200  0.070	-0.000  1.571  0.000	-0.025 -0.034 -0.150	0.08251
 0.350 -0.250  0.070	 0.350 -0.250  0.069	 0.002  1.570 -0.001	-0.023 -0.039 -0.149	0.07710
 0.350 -0.300  0.070	 0.349 -0.300  0.071	-0.003  1.571  0.002	-0.017 -0.049 -0.148	0.06594
 0.350 -0.350  0.070	 0.351 -0.350  0.069	-0.018  1.559 -0.040	-0.016 -0.055 -0.148	0.06019
 0.350 -0.400  0.070	 0.351 -0.399  0.070	-0.017  1.564 -0.053	-0.008 -0.064 -0.147	0.04841
 0.350 -0.450  0.070	 0.350 -0.450  0.070	-0.073  1.533 -0.133	-0.007 -0.070 -0.148	0.04298
 0.350 -0.500  0.070	 0.349 -0.499  0.069	-0.104  1.527 -0.197	-0.001 -0.078 -0.150	0.03295
 0.400  0.500  0.070	 0.401  0.499  0.070	-0.000  1.571  0.000	 0.030  0.056 -0.145	0.03275
 0.400  0.450  0.070	 0.400  0.451  0.070	-0.000  1.570 -0.000	 0.028  0.044 -0.144	0.03470
 0.400  0.400  0.070	 0.400  0.401  0.070	-0.001  1.570 -0.003	 0.026  0.029 -0.143	0.03729
 0.400  0.350  0.070	 0.401  0.350  0.070	-0.011  1.581  0.007	 0.022  0.014 -0.145	0.04100
 0.400  0.300  0.070	 0.399  0.300  0.070	-0.001  1.572  0.000	 0.012  0.012 -0.143	0.05130
 0.400  0.250  0.070	 0.400  0.250  0.069	 0.001  1.574  0.005	 0.010 -0.005 -0.148	0.05312
 0.400  0.200  0.070	 0.400  0.200  0.069	-0.002  1.570 -0.000	 0.007  0.004 -0.144	0.05564
 0.400  0.150  0.070	 0.400  0.150  0.069	-0.002  1.572  0.000	 0.018  0.003 -0.145	0.04480
